time,Bx,By,Bz,BT
1.324330,-6.06,-22.31,-19.69,30.37
1.334807,-6.19,-22.29,-19.41,30.20
1.344501,-6.08,-22.12,-19.50,30.11
1.354581,-6.11,-22.31,-19.63,30.34
1.364354,-6.00,-21.99,-19.59,30.06
1.376446,-5.91,-22.07,-19.99,30.35
1.384306,-5.83,-21.99,-20.06,30.34
1.394715,-5.89,-21.73,-20.06,30.16
1.404832,-6.11,-21.64,-20.08,30.15
1.414753,-6.11,-21.60,-20.29,30.26
1.424490,-6.21,-21.66,-20.55,30.49
1.434496,-6.04,-21.47,-20.49,30.29
1.445540,-5.93,-21.79,-20.42,30.44
1.455371,-5.94,-21.66,-20.23,30.23
1.465476,-5.83,-21.75,-20.01,30.12
1.479674,-5.76,-21.88,-19.88,30.12
1.484904,-5.48,-22.24,-19.84,30.30
1.494709,-5.21,-22.22,-19.84,30.24
1.504550,-5.08,-22.18,-19.61,30.04
1.514672,-5.21,-22.18,-19.67,30.10
1.524495,-5.31,-21.86,-19.67,29.88
1.534892,-5.40,-21.86,-19.59,29.85
1.544674,-5.81,-21.84,-19.73,30.00
1.554963,-5.83,-21.94,-19.84,30.15
1.564467,-5.89,-21.81,-19.89,30.10
1.574637,-6.19,-21.66,-19.91,30.06
1.584469,-6.41,-21.77,-19.86,30.15
1.594849,-6.41,-21.73,-19.80,30.09
1.604663,-6.43,-22.18,-19.73,30.37
1.614667,-6.53,-22.24,-19.63,30.37
1.624665,-6.36,-22.31,-19.52,30.32
1.634604,-6.41,-22.24,-19.48,30.25
1.644701,-6.69,-22.07,-19.41,30.14
1.654716,-6.58,-22.43,-19.56,30.47
1.665506,-6.54,-22.18,-19.48,30.24
1.674911,-6.45,-22.24,-19.56,30.31
1.685537,-6.47,-21.99,-19.82,30.30
1.695639,-6.26,-22.05,-19.97,30.40
1.705691,-6.36,-22.09,-20.03,30.48
1.715349,-6.34,-22.14,-19.84,30.40
1.725122,-6.17,-22.37,-19.80,30.50
1.734671,-6.04,-22.24,-19.58,30.23
1.744485,-6.17,-22.24,-19.71,30.35
1.754610,-6.09,-22.29,-19.74,30.40
1.764430,-6.19,-22.39,-19.74,30.48
1.776913,-6.34,-22.16,-19.97,30.50
1.784545,-6.24,-21.99,-20.10,30.44
1.794741,-6.26,-22.12,-20.33,30.69
1.804484,-6.23,-21.86,-20.55,30.64
1.814901,-6.45,-21.98,-20.79,30.93
1.824525,-6.38,-22.16,-20.64,30.95
1.834691,-6.32,-22.07,-20.91,31.05
1.844752,-6.19,-21.94,-20.83,30.88
1.854610,-5.98,-22.05,-20.62,30.78
1.864564,-6.13,-21.92,-20.55,30.66
1.878432,-6.00,-21.92,-20.46,30.58
